ingredients_rxcuis,ingredients_names,num_ingredients,pt_meddra_id,pt_meddra_term,percent_labels,num_labels
4917,nitroglycerin,1,10047340,Vertigo,0.5194805194805194,77
4917,nitroglycerin,1,10047700,Vomiting,0.7012987012987013,77
9863,sodium chloride,1,10000269,Abscess,0.3516483516483517,91
9863,sodium chloride,1,10021789,Infection,0.7692307692307693,91
9863,sodium chloride,1,10047249,Venous thrombosis,0.7032967032967034,91
3992,epinephrine,1,10001497,Agitation,0.3108108108108108,74
3992,epinephrine,1,10002198,Anaphylactic reaction,0.5945945945945946,74
3992,epinephrine,1,10002855,Anxiety,1.0,74
3992,epinephrine,1,10003119,Arrhythmia,0.9594594594594594,74
3992,epinephrine,1,10003549,Asthenia,0.972972972972973,74
3992,epinephrine,1,10008111,Cerebral haemorrhage,0.9594594594594594,74
3992,epinephrine,1,10013395,Disorientation,0.3108108108108108,74
3992,epinephrine,1,10013573,Dizziness,0.972972972972973,74
3992,epinephrine,1,10016326,Feeling cold,0.6351351351351351,74
3992,epinephrine,1,10017737,Gas gangrene,0.6891891891891891,74
3992,epinephrine,1,10019211,Headache,1.0,74
3992,epinephrine,1,10020642,Hyperhidrosis,0.8783783783783784,74
3992,epinephrine,1,10020772,Hypertension,0.7702702702702703,74
3992,epinephrine,1,10020937,Hypoaesthesia,0.6351351351351351,74
3992,epinephrine,1,10021789,Infection,0.581081081081081,74
3992,epinephrine,1,10024769,Local reaction,0.6351351351351351,74
