section,zip_id,label_id,set_id,spl_version,pt_meddra_id,pt_meddra_term,pred0,pred1
86,BW,20200223_8f8c5c01-5859-4843-adf4-8116ddaedc90,9465cf48-74b4-4615-83ef-4a3724c5f9e1,8f8c5c01-5859-4843-adf4-8116ddaedc90,11,10011906,Death,0.0,4.7717843651771545
87,BW,20200223_8f8c5c01-5859-4843-adf4-8116ddaedc90,9465cf48-74b4-4615-83ef-4a3724c5f9e1,8f8c5c01-5859-4843-adf4-8116ddaedc90,11,10012335,Dependence,0.5552609364191691,3.7905161579449973
101,BW,20200223_8f8c5c01-5859-4843-adf4-8116ddaedc90,9465cf48-74b4-4615-83ef-4a3724c5f9e1,8f8c5c01-5859-4843-adf4-8116ddaedc90,11,10038678,Respiratory depression,0.37087070598052096,4.375123551258674
103,BW,20200223_8f8c5c01-5859-4843-adf4-8116ddaedc90,9465cf48-74b4-4615-83ef-4a3724c5f9e1,8f8c5c01-5859-4843-adf4-8116ddaedc90,11,10039897,Sedation,0.4142065905034542,3.784252643585205
113,BW,20200223_8f8c5c01-5859-4843-adf4-8116ddaedc90,9465cf48-74b4-4615-83ef-4a3724c5f9e1,8f8c5c01-5859-4843-adf4-8116ddaedc90,11,10067125,Liver injury,0.13544649258255956,3.996248960494995
125,BW,20200223_96128b54-24d6-88a3-e053-2a95a90a1c9c,9f3402f0-5808-1ffc-e053-2995a90a1eb9,96128b54-24d6-88a3-e053-2a95a90a1c9c,3,10038678,Respiratory depression,0.0,4.951260328292847
140,BW,20200223_96139914-0708-7b58-e053-2995a90a7308,9f340f34-927a-5c1f-e053-2995a90a0b00,96139914-0708-7b58-e053-2995a90a7308,2,10038678,Respiratory depression,0.0,4.951260328292847
170,BW,20200225_070375be-3b67-4299-ae8f-4a7b157ac16f,486cdf26-cb3b-4ff3-b43a-37ac5141e644,070375be-3b67-4299-ae8f-4a7b157ac16f,14,10043248,Tendon rupture,0.0,5.12409245967865
171,BW,20200225_070375be-3b67-4299-ae8f-4a7b157ac16f,486cdf26-cb3b-4ff3-b43a-37ac5141e644,070375be-3b67-4299-ae8f-4a7b157ac16f,14,10043255,Tendonitis,0.21436402946710587,4.494911730289459
190,BW,20200225_0e6b0a2d-b79c-44d8-b785-5267df9e8f72,b8e8f854-2bc1-404a-80e1-bd45882e045f,0e6b0a2d-b79c-44d8-b785-5267df9e8f72,9,10070863,Toxicity to various agents,0.0,5.364217042922974
229,BW,20200225_ea0e79ce-74a1-436c-bac8-f2b80201b587,7f0b8397-89c9-412d-b2db-53edc1ce9ed1,ea0e79ce-74a1-436c-bac8-f2b80201b587,1,10010071,Coma,0.0,4.759336471557617
230,BW,20200225_ea0e79ce-74a1-436c-bac8-f2b80201b587,7f0b8397-89c9-412d-b2db-53edc1ce9ed1,ea0e79ce-74a1-436c-bac8-f2b80201b587,1,10011906,Death,0.0,5.202030181884766
233,BW,20200225_ea0e79ce-74a1-436c-bac8-f2b80201b587,7f0b8397-89c9-412d-b2db-53edc1ce9ed1,ea0e79ce-74a1-436c-bac8-f2b80201b587,1,10038678,Respiratory depression,0.05055219307541847,4.5417022705078125
235,BW,20200225_ea0e79ce-74a1-436c-bac8-f2b80201b587,7f0b8397-89c9-412d-b2db-53edc1ce9ed1,ea0e79ce-74a1-436c-bac8-f2b80201b587,1,10039897,Sedation,0.10120630264282227,4.033773183822632
238,BW,20200226_2d2c5317-4072-477b-a4e2-f6765fc71657,fdf8dc2e-4127-414b-b9c1-76c237cd8440,2d2c5317-4072-477b-a4e2-f6765fc71657,5,10001507,Agranulocytosis,0.0,5.473919105529785
240,BW,20200226_2d2c5317-4072-477b-a4e2-f6765fc71657,fdf8dc2e-4127-414b-b9c1-76c237cd8440,2d2c5317-4072-477b-a4e2-f6765fc71657,5,10002967,Aplastic anaemia,0.0,5.1014457702636715
257,BW,20200226_2d2c5317-4072-477b-a4e2-f6765fc71657,fdf8dc2e-4127-414b-b9c1-76c237cd8440,2d2c5317-4072-477b-a4e2-f6765fc71657,5,10042033,Stevens-Johnson syndrome,0.0,5.015028476715088
290,BW,20200226_81412f5a-493a-276d-e053-2a91aa0a21df,9f6bb8f9-02a0-0602-e053-2a95a90a3006,81412f5a-493a-276d-e053-2a91aa0a21df,3,10007515,Cardiac arrest,0.8256918787956238,3.56514772772789
291,BW,20200226_81412f5a-493a-276d-e053-2a91aa0a21df,9f6bb8f9-02a0-0602-e053-2a95a90a3006,81412f5a-493a-276d-e053-2a91aa0a21df,3,10011906,Death,0.0,5.048341274261475
297,BW,20200226_81412f5a-493a-276d-e053-2a91aa0a21df,9f6bb8f9-02a0-0602-e053-2a95a90a3006,81412f5a-493a-276d-e053-2a91aa0a21df,3,10023891,Laryngospasm,0.0,4.016080856323241
303,BW,20200226_81412f5a-493a-276d-e053-2a91aa0a21df,9f6bb8f9-02a0-0602-e053-2a95a90a3006,81412f5a-493a-276d-e053-2a91aa0a21df,3,10039020,Rhabdomyolysis,0.0,4.429782152175903
321,BW,20200226_9f68c61a-c207-cdbe-e053-2a95a90af5a0,9f68c623-bdae-8159-e053-2995a90ae595,9f68c61a-c207-cdbe-e053-2a95a90af5a0,1,10039906,Seizure,1.0987191796302795,3.395046830177307
344,BW,20200227_7aaa97f9-a9d1-c815-e053-2991aa0afb9e,9edfcc6c-f56a-068a-e053-2995a90a4e72,7aaa97f9-a9d1-c815-e053-2991aa0afb9e,4,10007649,Cardiovascular disorder,0.0,5.001801252365112
345,BW,20200227_7aaa97f9-a9d1-c815-e053-2991aa0afb9e,9edfcc6c-f56a-068a-e053-2995a90a4e72,7aaa97f9-a9d1-c815-e053-2991aa0afb9e,4,10008190,Cerebrovascular accident,0.4594123549759388,3.913000226020813
347,BW,20200227_7aaa97f9-a9d1-c815-e053-2991aa0afb9e,9edfcc6c-f56a-068a-e053-2995a90a4e72,7aaa97f9-a9d1-c815-e053-2991aa0afb9e,4,10012267,Dementia,0.09732734377030283,4.624358224868774
350,BW,20200227_7aaa97f9-a9d1-c815-e053-2991aa0afb9e,9edfcc6c-f56a-068a-e053-2995a90a4e72,7aaa97f9-a9d1-c815-e053-2991aa0afb9e,4,10014733,Endometrial cancer,0.026966774463653566,5.177949237823486
355,BW,20200227_7aaa97f9-a9d1-c815-e053-2991aa0afb9e,9edfcc6c-f56a-068a-e053-2995a90a4e72,7aaa97f9-a9d1-c815-e053-2991aa0afb9e,4,10028596,Myocardial infarction,0.5247809290885925,4.01216459274292
362,BW,20200227_7aaa97f9-a9d1-c815-e053-2991aa0afb9e,9edfcc6c-f56a-068a-e053-2995a90a4e72,7aaa97f9-a9d1-c815-e053-2991aa0afb9e,4,10037377,Pulmonary embolism,0.0,5.033069372177124
369,BW,20200227_7aaa97f9-a9d1-c815-e053-2991aa0afb9e,9edfcc6c-f56a-068a-e053-2995a90a4e72,7aaa97f9-a9d1-c815-e053-2991aa0afb9e,4,10051055,Deep vein thrombosis,0.0,5.281742493311564
384,BW,20200227_7f272100-e02f-4a16-bb39-a2bf844db4f9,d62c4ee6-3e37-4c94-9287-a9f7c66484b0,7f272100-e02f-4a16-bb39-a2bf844db4f9,29,10011906,Death,0.0,4.510075569152832
393,BW,20200227_fbca2152-0022-47a5-a1ea-58950b45bcbf,9fcd6487-e123-44ca-a48f-3aa2e5858979,fbca2152-0022-47a5-a1ea-58950b45bcbf,7,10001507,Agranulocytosis,0.0,5.472081279754638
395,BW,20200227_fbca2152-0022-47a5-a1ea-58950b45bcbf,9fcd6487-e123-44ca-a48f-3aa2e5858979,fbca2152-0022-47a5-a1ea-58950b45bcbf,7,10002967,Aplastic anaemia,0.0,5.092200851440429
412,BW,20200227_fbca2152-0022-47a5-a1ea-58950b45bcbf,9fcd6487-e123-44ca-a48f-3aa2e5858979,fbca2152-0022-47a5-a1ea-58950b45bcbf,7,10042033,Stevens-Johnson syndrome,0.0,5.015028476715088
431,BW,20200228_184db12c-0642-4741-a997-cd0b2a5ce337,81abd8b3-e743-4405-a9e1-4d8881f199a8,184db12c-0642-4741-a997-cd0b2a5ce337,2,10011078,Coronary artery disease,0.347261905670166,3.3908302783966064
434,BW,20200228_184db12c-0642-4741-a997-cd0b2a5ce337,81abd8b3-e743-4405-a9e1-4d8881f199a8,184db12c-0642-4741-a997-cd0b2a5ce337,2,10028596,Myocardial infarction,0.15087589714676142,4.655866861343384
435,BW,20200228_184db12c-0642-4741-a997-cd0b2a5ce337,81abd8b3-e743-4405-a9e1-4d8881f199a8,184db12c-0642-4741-a997-cd0b2a5ce337,2,10028600,Myocardial ischaemia,0.4186003506183624,4.12475323677063
464,BW,20200228_86aad85d-5460-4c38-9761-a225e6bce190,b3c95eed-7579-40b4-bf99-1530b71a975a,86aad85d-5460-4c38-9761-a225e6bce190,7,10019731,Hepatitis B,0.018249598996979848,4.832410676138742
483,BW,20200228_e782283e-2608-4fd6-a8b2-6c30b9d5d3b0,b87c29c4-4dd9-4095-85a5-af8833ae2b4f,e782283e-2608-4fd6-a8b2-6c30b9d5d3b0,9,10018932,Haemolytic uraemic syndrome,0.0,4.621311664581299
489,BW,20200228_e782283e-2608-4fd6-a8b2-6c30b9d5d3b0,b87c29c4-4dd9-4095-85a5-af8833ae2b4f,e782283e-2608-4fd6-a8b2-6c30b9d5d3b0,9,10043554,Thrombocytopenia,0.06285686045885086,4.421631097793579
491,BW,20200228_e782283e-2608-4fd6-a8b2-6c30b9d5d3b0,b87c29c4-4dd9-4095-85a5-af8833ae2b4f,e782283e-2608-4fd6-a8b2-6c30b9d5d3b0,9,10043648,Thrombotic thrombocytopenic purpura,0.0,4.802549839019775
514,BW,20200229_189ad040-07e9-42a5-854c-67633367da74,b18f3e63-0835-4543-a865-664c5651295c,189ad040-07e9-42a5-854c-67633367da74,4,10020646,Hyperkalaemia,1.824726680914561,3.4696401158968606
518,BW,20200229_189ad040-07e9-42a5-854c-67633367da74,b18f3e63-0835-4543-a865-664c5651295c,189ad040-07e9-42a5-854c-67633367da74,4,10062237,Renal impairment,0.0,4.3542704582214355
545,BW,20200229_4af3894a-8945-4b2d-bdf6-a83bbd415b89,d0f31dff-c2dd-487d-a329-342765d135e3,4af3894a-8945-4b2d-bdf6-a83bbd415b89,4,10043248,Tendon rupture,0.0,4.976714611053467
546,BW,20200229_4af3894a-8945-4b2d-bdf6-a83bbd415b89,d0f31dff-c2dd-487d-a329-342765d135e3,4af3894a-8945-4b2d-bdf6-a83bbd415b89,4,10043255,Tendonitis,0.23574990034103394,4.101361115773519
570,BW,20200229_90290910-11c8-4b33-b601-90d83b556cca,abfc4554-8993-455e-8c6c-62b3f7d9ec06,90290910-11c8-4b33-b601-90d83b556cca,4,10047895,Weight decreased,0.6885927319526672,3.6445474624633785
582,BW,20200229_b0f9e649-6651-406f-a9fe-157fe04d9d27,d8f31daf-5694-4d1a-babd-bb02b951173a,b0f9e649-6651-406f-a9fe-157fe04d9d27,4,10008190,Cerebrovascular accident,0.0,3.8396165370941158
588,BW,20200229_b0f9e649-6651-406f-a9fe-157fe04d9d27,d8f31daf-5694-4d1a-babd-bb02b951173a,b0f9e649-6651-406f-a9fe-157fe04d9d27,4,10017955,Gastrointestinal haemorrhage,0.0,5.371251463890076
590,BW,20200229_b0f9e649-6651-406f-a9fe-157fe04d9d27,d8f31daf-5694-4d1a-babd-bb02b951173a,b0f9e649-6651-406f-a9fe-157fe04d9d27,4,10028596,Myocardial infarction,0.27471640706062317,4.310413956642151
598,BW,20200229_b0f9e649-6651-406f-a9fe-157fe04d9d27,d8f31daf-5694-4d1a-babd-bb02b951173a,b0f9e649-6651-406f-a9fe-157fe04d9d27,4,10055798,Haemorrhage,0.3192870795726776,4.5411309719085695
619,BW,20200229_bd324779-57cb-4161-97d0-b0ff9b558adb,310c89de-8ded-4c06-8d56-2992165ffa21,bd324779-57cb-4161-97d0-b0ff9b558adb,4,10047895,Weight decreased,0.6885927319526672,3.6445474624633785
629,BW,20200229_ded77a84-e6d1-4471-ac6e-a05a0955daa5,3088635b-b4fc-484d-b979-2a8d3ed37d7f,ded77a84-e6d1-4471-ac6e-a05a0955daa5,4,10012378,Depression,0.1733877807855606,4.1194775104522705
651,BW,20200301_79b9db39-7cdc-5607-f0ce-ac2a2cfd59d5,be014c71-5656-068e-ed7f-fc30fcbfb16f,79b9db39-7cdc-5607-f0ce-ac2a2cfd59d5,8,10042434,Sudden death,0.10750383883714676,3.5552287101745605
679,BW,20200303_96f4357c-720c-4651-b638-7b1181531dc5,ecacb8f4-c09b-4e85-b9b3-87a6c5e9e0b6,96f4357c-720c-4651-b638-7b1181531dc5,1,10002967,Aplastic anaemia,0.12937975426514944,4.626428306102753
690,BW,20200303_96f4357c-720c-4651-b638-7b1181531dc5,ecacb8f4-c09b-4e85-b9b3-87a6c5e9e0b6,96f4357c-720c-4651-b638-7b1181531dc5,1,10011906,Death,0.0,4.401726245880127
696,BW,20200303_96f4357c-720c-4651-b638-7b1181531dc5,ecacb8f4-c09b-4e85-b9b3-87a6c5e9e0b6,96f4357c-720c-4651-b638-7b1181531dc5,1,10019663,Hepatic failure,0.10268298784891762,4.799759169419606
697,BW,20200303_96f4357c-720c-4651-b638-7b1181531dc5,ecacb8f4-c09b-4e85-b9b3-87a6c5e9e0b6,96f4357c-720c-4651-b638-7b1181531dc5,1,10019837,Hepatocellular injury,0.0,4.3264923095703125
698,BW,20200303_96f4357c-720c-4651-b638-7b1181531dc5,ecacb8f4-c09b-4e85-b9b3-87a6c5e9e0b6,96f4357c-720c-4651-b638-7b1181531dc5,1,10021789,Infection,0.03637906536459922,3.951990365982056
715,BW,20200303_96f4357c-720c-4651-b638-7b1181531dc5,ecacb8f4-c09b-4e85-b9b3-87a6c5e9e0b6,96f4357c-720c-4651-b638-7b1181531dc5,1,10055798,Haemorrhage,0.16902410984039307,3.964723587036133
738,BW,20200303_ac0b0590-e280-4d20-8238-61e7d4b0d2f3,9298ddb2-c8eb-4c15-aef0-a938e0975a3a,ac0b0590-e280-4d20-8238-61e7d4b0d2f3,1,10010071,Coma,0.0,4.871635437011719
740,BW,20200303_ac0b0590-e280-4d20-8238-61e7d4b0d2f3,9298ddb2-c8eb-4c15-aef0-a938e0975a3a,ac0b0590-e280-4d20-8238-61e7d4b0d2f3,1,10011906,Death,0.0,4.990711212158203
741,BW,20200303_ac0b0590-e280-4d20-8238-61e7d4b0d2f3,9298ddb2-c8eb-4c15-aef0-a938e0975a3a,ac0b0590-e280-4d20-8238-61e7d4b0d2f3,1,10012335,Dependence,0.7124516474349158,3.6340301547731673
746,BW,20200303_ac0b0590-e280-4d20-8238-61e7d4b0d2f3,9298ddb2-c8eb-4c15-aef0-a938e0975a3a,ac0b0590-e280-4d20-8238-61e7d4b0d2f3,1,10019851,Hepatotoxicity,0.0,4.86067008972168
752,BW,20200303_ac0b0590-e280-4d20-8238-61e7d4b0d2f3,9298ddb2-c8eb-4c15-aef0-a938e0975a3a,ac0b0590-e280-4d20-8238-61e7d4b0d2f3,1,10038678,Respiratory depression,0.485377208640178,3.878735152880351
754,BW,20200303_ac0b0590-e280-4d20-8238-61e7d4b0d2f3,9298ddb2-c8eb-4c15-aef0-a938e0975a3a,ac0b0590-e280-4d20-8238-61e7d4b0d2f3,1,10039897,Sedation,0.1994471764191985,3.85894113779068
798,BW,20200304_2984bce2-89bf-4768-a1ca-ccf03b1197be,a186f5d9-3c7d-4b02-9f83-4090c925ad1a,2984bce2-89bf-4768-a1ca-ccf03b1197be,1,10007649,Cardiovascular disorder,0.0,4.954669952392577
799,BW,20200304_2984bce2-89bf-4768-a1ca-ccf03b1197be,a186f5d9-3c7d-4b02-9f83-4090c925ad1a,2984bce2-89bf-4768-a1ca-ccf03b1197be,1,10008190,Cerebrovascular accident,0.07661738991737366,4.471154530843099
801,BW,20200304_2984bce2-89bf-4768-a1ca-ccf03b1197be,a186f5d9-3c7d-4b02-9f83-4090c925ad1a,2984bce2-89bf-4768-a1ca-ccf03b1197be,1,10012267,Dementia,0.22998688369989395,4.351172208786011
804,BW,20200304_2984bce2-89bf-4768-a1ca-ccf03b1197be,a186f5d9-3c7d-4b02-9f83-4090c925ad1a,2984bce2-89bf-4768-a1ca-ccf03b1197be,1,10014733,Endometrial cancer,0.0,4.856024742126465
820,BW,20200304_2984bce2-89bf-4768-a1ca-ccf03b1197be,a186f5d9-3c7d-4b02-9f83-4090c925ad1a,2984bce2-89bf-4768-a1ca-ccf03b1197be,1,10051055,Deep vein thrombosis,0.0,5.279355049133301
842,BW,20200304_5127517f-b8d0-4af1-8a2f-5225719600bc,9a632800-9220-4b7e-b2f0-9803e8f899be,5127517f-b8d0-4af1-8a2f-5225719600bc,3,10012378,Depression,0.0706707239151001,4.222001314163208
851,BW,20200304_5e615ee5-db85-4c21-b9d6-ba5eb9ce823a,9fd9bf8a-0330-aa21-e053-2995a90adbff,5e615ee5-db85-4c21-b9d6-ba5eb9ce823a,1,10002199,Anaphylactic shock,0.0,4.541284561157227
863,BW,20200304_5e615ee5-db85-4c21-b9d6-ba5eb9ce823a,9fd9bf8a-0330-aa21-e053-2995a90adbff,5e615ee5-db85-4c21-b9d6-ba5eb9ce823a,1,10006482,Bronchospasm,0.0,4.468043327331543
875,BW,20200304_5e615ee5-db85-4c21-b9d6-ba5eb9ce823a,9fd9bf8a-0330-aa21-e053-2995a90adbff,5e615ee5-db85-4c21-b9d6-ba5eb9ce823a,1,10028596,Myocardial infarction,0.12619099020957947,4.4068334102630615
916,BW,20200304_943e2739-3f35-46d9-af79-1b417927d866,5391e443-03e8-42d2-b9f3-a2def7968eb6,943e2739-3f35-46d9-af79-1b417927d866,4,10015769,Extradural haematoma,0.0,5.357287883758545
917,BW,20200304_943e2739-3f35-46d9-af79-1b417927d866,5391e443-03e8-42d2-b9f3-a2def7968eb6,943e2739-3f35-46d9-af79-1b417927d866,4,10018852,Haematoma,0.0,5.075141668319702
922,BW,20200304_943e2739-3f35-46d9-af79-1b417927d866,5391e443-03e8-42d2-b9f3-a2def7968eb6,943e2739-3f35-46d9-af79-1b417927d866,4,10033799,Paralysis,0.09622025489807129,4.460110425949097
941,BW,20200304_9ff5086a-9f88-91ec-e053-2995a90a31b4,9ff5086a-9f89-91ec-e053-2995a90a31b4,9ff5086a-9f88-91ec-e053-2995a90a31b4,1,10008190,Cerebrovascular accident,0.0,3.906912326812744
947,BW,20200304_9ff5086a-9f88-91ec-e053-2995a90a31b4,9ff5086a-9f89-91ec-e053-2995a90a31b4,9ff5086a-9f88-91ec-e053-2995a90a31b4,1,10017955,Gastrointestinal haemorrhage,0.0,5.292757670084636
949,BW,20200304_9ff5086a-9f88-91ec-e053-2995a90a31b4,9ff5086a-9f89-91ec-e053-2995a90a31b4,9ff5086a-9f88-91ec-e053-2995a90a31b4,1,10028596,Myocardial infarction,0.1939232349395752,4.39755916595459
957,BW,20200304_9ff5086a-9f88-91ec-e053-2995a90a31b4,9ff5086a-9f89-91ec-e053-2995a90a31b4,9ff5086a-9f88-91ec-e053-2995a90a31b4,1,10055798,Haemorrhage,0.5531479269266129,4.201085567474365
975,BW,20200305_4c32971e-feb3-4388-9cd6-d1f99f258b0d,9e7c64de-a4ea-b414-e053-2995a90aad3e,4c32971e-feb3-4388-9cd6-d1f99f258b0d,10,10012378,Depression,0.14445948600769043,4.147237300872803
982,BW,20200305_57bd50e6-c948-0037-4a4b-c8951f70d04a,b02c7ef0-b683-ea13-bcb4-30be2a740fd7,57bd50e6-c948-0037-4a4b-c8951f70d04a,3,10001507,Agranulocytosis,0.0,5.624390602111816
989,BW,20200305_57bd50e6-c948-0037-4a4b-c8951f70d04a,b02c7ef0-b683-ea13-bcb4-30be2a740fd7,57bd50e6-c948-0037-4a4b-c8951f70d04a,3,10011906,Death,0.0,5.247343063354492
993,BW,20200305_57bd50e6-c948-0037-4a4b-c8951f70d04a,b02c7ef0-b683-ea13-bcb4-30be2a740fd7,57bd50e6-c948-0037-4a4b-c8951f70d04a,3,10021789,Infection,0.0,5.380526622136434
995,BW,20200305_57bd50e6-c948-0037-4a4b-c8951f70d04a,b02c7ef0-b683-ea13-bcb4-30be2a740fd7,57bd50e6-c948-0037-4a4b-c8951f70d04a,3,10029354,Neutropenia,0.09666196107864379,4.831623268127442
1009,BW,20200305_5af7ec26-5666-41a9-a0a9-1c3b09f6638e,9e7bd8c2-eb5c-d570-e053-2a95a90a885d,5af7ec26-5666-41a9-a0a9-1c3b09f6638e,8,10012378,Depression,0.14445948600769043,4.147237300872803
1020,BW,20200305_99c79ee8-a8f8-cffb-e053-2995a90a7863,99c79ed5-94dc-48de-e053-2a95a90a4c64,99c79ee8-a8f8-cffb-e053-2995a90a7863,1,10010071,Coma,0.0,4.800501823425293
1021,BW,20200305_99c79ee8-a8f8-cffb-e053-2995a90a7863,99c79ed5-94dc-48de-e053-2a95a90a4c64,99c79ee8-a8f8-cffb-e053-2995a90a7863,1,10011906,Death,0.0,5.1870174407958975
1025,BW,20200305_99c79ee8-a8f8-cffb-e053-2995a90a7863,99c79ed5-94dc-48de-e053-2a95a90a4c64,99c79ee8-a8f8-cffb-e053-2995a90a7863,1,10038678,Respiratory depression,0.16848048567771912,4.477328300476073
1027,BW,20200305_99c79ee8-a8f8-cffb-e053-2995a90a7863,99c79ed5-94dc-48de-e053-2a95a90a4c64,99c79ee8-a8f8-cffb-e053-2995a90a7863,1,10039897,Sedation,0.3521858751773834,3.618464708328247
