ingredients_rxcuis,ingredients_names,num_ingredients,pt_meddra_id,pt_meddra_term,percent_labels,num_labels
10689,tramadol,1,10010071,Coma,1.0,126
10689,tramadol,1,10011906,Death,1.0,126
10689,tramadol,1,10012335,Dependence,0.7222222222222222,126
10689,tramadol,1,10019851,Hepatotoxicity,0.06349206349206349,126
10689,tramadol,1,10038678,Respiratory depression,1.0,126
10689,tramadol,1,10039897,Sedation,1.0,126
15996,mirtazapine,1,10012378,Depression,1.0,57
35827,ketorolac,1,10002199,Anaphylactic shock,0.5495495495495496,111
35827,ketorolac,1,10006482,Bronchospasm,0.5495495495495496,111
35827,ketorolac,1,10028596,Myocardial infarction,0.9819819819819819,111
67108,enoxaparin,1,10015769,Extradural haematoma,1.0,27
67108,enoxaparin,1,10018852,Haematoma,1.0,27
67108,enoxaparin,1,10033799,Paralysis,1.0,27
32613,oxaprozin,1,10008190,Cerebrovascular accident,1.0,23
32613,oxaprozin,1,10017955,Gastrointestinal haemorrhage,0.782608695652174,23
32613,oxaprozin,1,10028596,Myocardial infarction,1.0,23
32613,oxaprozin,1,10055798,Haemorrhage,1.0,23
2597,clomipramine,1,10012378,Depression,1.0,29
11645,deferiprone,1,10001507,Agranulocytosis,1.0,8
11645,deferiprone,1,10011906,Death,1.0,8
11645,deferiprone,1,10021789,Infection,1.0,8
11645,deferiprone,1,10029354,Neutropenia,1.0,8
6470,lorazepam,1,10010071,Coma,1.0,105
6470,lorazepam,1,10011906,Death,1.0,105
6470,lorazepam,1,10038678,Respiratory depression,1.0,105
6470,lorazepam,1,10039897,Sedation,1.0,105
2356,chlordiazepoxide,1,10010071,Coma,1.0,23
2356,chlordiazepoxide,1,10011906,Death,1.0,23
2356,chlordiazepoxide,1,10038678,Respiratory depression,1.0,23
2356,chlordiazepoxide,1,10039897,Sedation,1.0,23
8886,protriptyline,1,10012378,Depression,1.0,6
6809,metformin,1,10011906,Death,0.7887323943661971,284
6809,metformin,1,10019670,Hepatic function abnormal,0.7570422535211268,284
6809,metformin,1,10021097,Hypotension,0.9964788732394366,284
6809,metformin,1,10021113,Hypothermia,0.897887323943662,284
6809,metformin,1,10023676,Lactic acidosis,1.0,284
6809,metformin,1,10038687,Respiratory distress,1.0,284
6809,metformin,1,10062237,Renal impairment,0.7922535211267606,284
7238,nalbuphine,1,10010071,Coma,0.8181818181818182,11
7238,nalbuphine,1,10011906,Death,0.8181818181818182,11
7238,nalbuphine,1,10039897,Sedation,0.8181818181818182,11
10473,thiotepa,1,10007269,Carcinogenicity,0.8,5
10473,thiotepa,1,10021789,Infection,1.0,5
10473,thiotepa,1,10028584,Myelosuppression,0.8,5
10473,thiotepa,1,10055798,Haemorrhage,1.0,5
