SETID,SPL_VERSION,RXCUI,RXSTRING,RXTTY
0006d193-29d6-4163-a592-5329b477051b,4,1044949,dextromethorphan HBr 10 MG / guaifenesin 100 MG / phenylephrine HCl 5 MG per 5 ML Oral Solution,SY
0006d193-29d6-4163-a592-5329b477051b,4,1044949,dextromethorphan HBr 20 MG / guaiFENesin 200 MG / phenylephrine HCl 10 MG in 10 mL Oral Solution,PSN
0006d193-29d6-4163-a592-5329b477051b,4,1044949,dextromethorphan HBr 20 MG / guaifenesin 200 MG / phenylephrine HCl 10 MG per 10 ML Oral Solution,SY
0006d193-29d6-4163-a592-5329b477051b,4,1044949,dextromethorphan hydrobromide 2 MG/ML / guaifenesin 20 MG/ML / phenylephrine hydrochloride 1 MG/ML Oral Solution,SCD
00071697-4ac6-4962-8eee-388b8b52bd40,4,998232,glycerin 0.2 % Ophthalmic Solution,PSN
00071697-4ac6-4962-8eee-388b8b52bd40,4,998232,glycerin 0.2 % Ophthalmic Solution,SY
00071697-4ac6-4962-8eee-388b8b52bd40,4,998232,glycerin 2 MG/ML Ophthalmic Solution,SCD
00071697-4ac6-4962-8eee-388b8b52bd40,4,998236,Oasis Tears 0.2 % Ophthalmic Drops,SY
00071697-4ac6-4962-8eee-388b8b52bd40,4,998236,Oasis Tears 2 MG/ML Ophthalmic Solution,SY
00071697-4ac6-4962-8eee-388b8b52bd40,4,998236,Oasis Tears Plus 0.2 % Ophthalmic Drops,SY
00071697-4ac6-4962-8eee-388b8b52bd40,4,998236,Oasis Tears Plus 0.2 % Ophthalmic Solution,PSN
00071697-4ac6-4962-8eee-388b8b52bd40,4,998236,glycerin 2 MG/ML Ophthalmic Solution [Oasis Tears],SBD
0007892c-8c17-400d-b820-020aa32f433b,3,197900,LORazepam 0.5 MG Oral Tablet,PSN
0007892c-8c17-400d-b820-020aa32f433b,3,197900,lorazepam 0.5 MG Oral Tablet,SCD
0007892c-8c17-400d-b820-020aa32f433b,3,197901,LORazepam 1 MG Oral Tablet,PSN
0007892c-8c17-400d-b820-020aa32f433b,3,197901,lorazepam 1 MG Oral Tablet,SCD
0007892c-8c17-400d-b820-020aa32f433b,3,197902,LORazepam 2 MG Oral Tablet,PSN
0007892c-8c17-400d-b820-020aa32f433b,3,197902,lorazepam 2 MG Oral Tablet,SCD
00088ecd-e45d-4080-b124-e66376ad7694,2,1737244,2 ML clindamycin 150 MG/ML Injection,SCD
00088ecd-e45d-4080-b124-e66376ad7694,2,1737244,clindamycin (as clindamycin phosphate) 300 MG per 2 ML Injection,SY
00088ecd-e45d-4080-b124-e66376ad7694,2,1737244,clindamycin 300 MG in 2 ML Injection,PSN
00088ecd-e45d-4080-b124-e66376ad7694,2,1737244,clindamycin 300 MG per 2 ML Injection,SY
